date,Kejadian,Penyebab,Keterangan,Lokasi,Posisi,hujan_0,hujan_300,hujan_600,hujan_900,hujan_1200,hujan_1500,hujan_2100,min_hujan,max_hujan,avg_hujan
2020-04-12,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0571428571428571
2020-04-14,Tidak Banjir,,,Cilacap,,0.0,0.0,0.3,0.2,0.3,3.4,0.1,0.0,3.4,0.6142857142857142
2020-04-15,Tidak Banjir,,,Cilacap,,2.0,0.7,0.2,0.0,3.2,0.0,0.6,0.0,3.2,0.9571428571428572
2020-04-16,Tidak Banjir,,,Cilacap,,1.9,0.0,0.0,0.0,0.2,7.7,1.7,0.0,7.7,1.6428571428571428
2020-04-17,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,1.4,2.3,0.0,2.3,0.5285714285714286
2020-04-18,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,3.8,2.7,0.0,3.8,0.9285714285714286
2020-04-19,Tidak Banjir,,,Cilacap,,2.5,0.1,0.0,0.0,0.3,0.0,0.0,0.0,2.5,0.4142857142857142
2020-04-20,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.2,0.0428571428571428
2020-04-21,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.2,0.0,1.4,0.0,0.0,1.4,0.2285714285714285
2020-04-22,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.2,0.0,0.1,1.6,0.0,1.6,0.2714285714285714
2020-04-23,Tidak Banjir,,,Cilacap,,0.3,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.5,0.1428571428571428
2020-04-24,Tidak Banjir,,,Cilacap,,0.0,0.2,0.3,0.3,0.0,0.2,0.1,0.0,0.3,0.1571428571428571
2020-04-25,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.1,0.2,5.0,0.0,0.0,5.0,0.7571428571428571
2020-04-26,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0571428571428571
2020-04-27,Tidak Banjir,,,Cilacap,,0.0,1.7,3.5,2.3,0.6,4.1,0.3,0.0,4.1,1.7857142857142858
2020-04-28,Banjir,,,Cilacap,"-7.51823, 108.94043",0.0,0.2,0.6,1.5,3.1,1.9,1.1,0.0,3.1,1.2
2020-04-29,Tidak Banjir,,,Cilacap,,0.6,0.6,0.1,0.0,0.0,0.0,0.4,0.0,0.6,0.2428571428571428
2020-04-30,Tidak Banjir,,,Cilacap,,0.0,0.2,0.0,0.2,0.3,1.2,1.3,0.0,1.3,0.4571428571428572
2020-05-01,Tidak Banjir,,,Cilacap,,0.0,0.5,0.0,0.7,4.2,0.2,2.3,0.0,4.2,1.1285714285714286
2020-05-02,Tidak Banjir,,,Cilacap,,0.8,4.2,3.4,3.6,5.7,1.8,0.8,0.8,5.7,2.9
2020-05-03,Tidak Banjir,,,Cilacap,,0.0,0.0,0.2,2.3,0.5,3.4,2.0,0.0,3.4,1.2
2020-05-04,Tidak Banjir,,,Cilacap,,1.1,2.2,0.7,0.3,0.2,2.2,1.5,0.2,2.2,1.1714285714285713
2020-05-05,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.1,1.1,0.0,0.0,1.1,0.1714285714285714
2020-05-06,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0428571428571428
2020-05-07,Tidak Banjir,,,Cilacap,,0.2,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.3,0.0857142857142857
2020-05-08,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,3.8,0.2,0.0,0.0,3.8,0.5714285714285714
2020-05-09,Banjir,,,Cilacap,"-7.69236, 108.92157",0.0,0.3,0.2,4.0,3.5,0.4,0.2,0.0,4.0,1.2285714285714284
2020-05-10,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.1,0.2,1.5,1.5,0.0,1.5,0.4714285714285714
2020-05-11,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.1,0.2,1.7,0.0,1.7,0.2857142857142857
2020-05-12,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0285714285714285
2020-05-13,Tidak Banjir,,,Cilacap,,0.3,0.1,0.0,0.0,4.5,0.3,0.0,0.0,4.5,0.7428571428571429
2020-05-14,Tidak Banjir,,,Cilacap,,0.3,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.1142857142857142
2020-05-15,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.4,0.0999999999999999
2020-05-16,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0571428571428571
2020-05-17,Tidak Banjir,,,Cilacap,,0.0,0.0,0.0,0.1,0.1,0.0,1.4,0.0,1.4,0.2285714285714285
2020-05-18,Tidak Banjir,,,Cilacap,,0.0,2.1,1.6,0.8,0.4,8.0,2.0,0.0,8.0,2.128571428571429
2020-05-19,Tidak Banjir,,,Cilacap,,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.2285714285714285
